ticker,nome,tipo,setor
ALOS3,ALOS,STOCK,Saúde
ABEV3,AMBEV S/A,STOCK,Consumo
ANIM3,ANIMA,STOCK,Educação
ASAI3,ASSAI,STOCK,Varejo
AURE3,AUREN,STOCK,Energia Elétrica
AXIA3,AXIA ENERGIA,STOCK,Energia Elétrica
AXIA6,AXIA ENERGIA,STOCK,Energia Elétrica
AZZA3,AZZAS 2154,STOCK,Varejo
B3SA3,B3,STOCK,Financeiro
BBSE3,BBSEGURIDADE,STOCK,Seguros
BBDC3,BRADESCO,STOCK,Financeiro
BBDC4,BRADESCO,STOCK,Financeiro
BRAP4,BRADESPAR,STOCK,Mineração
BBAS3,BRASIL,STOCK,Financeiro
BRKM5,BRASKEM,STOCK,Petroquímico
BRAV3,BRAVA,STOCK,Energia Elétrica
BPAC11,BTGP BANCO,STOCK,Financeiro
CXSE3,CAIXA SEGURI,STOCK,Seguros
CEAB3,CEA MODAS,STOCK,Varejo
CMIG4,CEMIG,STOCK,Energia Elétrica
COGN3,COGNA ON,STOCK,Educação
CSMG3,COPASA,STOCK,Saneamento
CPLE3,COPEL,STOCK,Energia Elétrica
CPLE5,COPEL,STOCK,Energia Elétrica
CSAN3,COSAN,STOCK,Agronegócio
CPFE3,CPFL ENERGIA,STOCK,Energia Elétrica
CMIN3,CSNMINERACAO,STOCK,Mineração
CURY3,CURY S/A,STOCK,Construção Civil
CVCB3,CVC BRASIL,STOCK,Turismo
CYRE3,CYRELA REALT,STOCK,Construção Civil
DIRR3,DIRECIONAL,STOCK,Construção Civil
ECOR3,ECORODOVIAS,STOCK,Transporte
EMBR3,EMBRAER,STOCK,Aeronáutica
ENGI11,ENERGISA,STOCK,Energia Elétrica
ENEV3,ENEVA,STOCK,Energia Elétrica
EGIE3,ENGIE BRASIL,STOCK,Energia Elétrica
EQTL3,EQUATORIAL,STOCK,Energia Elétrica
EZTC3,EZTEC,STOCK,Construção Civil
FLRY3,FLEURY,STOCK,Saúde
GGBR4,GERDAU,STOCK,Siderurgia
GOAU4,GERDAU MET,STOCK,Siderurgia
GGPS3,GPS,STOCK,Energia Elétrica
GMAT3,GRUPO MATEUS,STOCK,Varejo
HAPV3,HAPVIDA,STOCK,Saúde
HYPE3,HYPERA,STOCK,Saúde
IGTI11,IGUATEMI S.A,STOCK,Shoppings
INTB3,INTELBRáS,STOCK,Tecnologia
IRBR3,IRBBRASIL RE,STOCK,Seguros
ISAE4,ISA ENERGIA,STOCK,Energia Elétrica
ITSA4,ITAUSA,STOCK,Holding
ITUB4,ITAUUNIBANCO,STOCK,Financeiro
KLBN11,KLABIN S/A,STOCK,Papel e Celulose
RENT3,LOCALIZA,STOCK,Serviços
LREN3,LOJAS RENNER,STOCK,Varejo
LWSA3,LWSA,STOCK,Energia Elétrica
MGLU3,MAGAZ LUIZA,STOCK,Varejo
POMO4,MARCOPOLO,STOCK,Veículos
MBRF3,MARFRIG,STOCK,Alimentos
BEEF3,MINERVA,STOCK,Alimentos
MOTV3,MOTIVA S/A,STOCK,Energia Elétrica
MOVI3,MOVIDA,STOCK,Serviços
MRVE3,MRV,STOCK,Construção Civil
MULT3,MULTIPLAN,STOCK,Shoppings
NATU3,NATURA,STOCK,Consumo
PCAR3,P.ACUCAR-CBD,STOCK,Varejo
PETR3,PETROBRAS,STOCK,Petróleo e Gás
PETR4,PETROBRAS,STOCK,Petróleo e Gás
RECV3,PETRORECSA,STOCK,Petróleo e Gás
PRIO3,PETRORIO,STOCK,Petróleo e Gás
PETZ3,PETZ,STOCK,Varejo
PSSA3,PORTO SEGURO,STOCK,Seguros
RADL3,RAIA DROGASIL,STOCK,Varejo
RAIZ4,RAIZEN,STOCK,Energia
RAPT4,RANDON PART,STOCK,Veículos
RDOR3,REDE D OR,STOCK,Saúde
RAIL3,RUMO S.A.,STOCK,Transporte
SBSP3,SABESP,STOCK,Saneamento
SAPR11,SANEPAR,STOCK,Saneamento
SANB11,SANTANDER BR,STOCK,Financeiro
SMTO3,SAO MARTINHO,STOCK,Agronegócio
CSNA3,SID NACIONAL,STOCK,Siderurgia
SLCE3,SLC AGRICOLA,STOCK,Agronegócio
SMFT3,SMART FIT,STOCK,Serviços
SUZB3,SUZANO S.A.,STOCK,Papel e Celulose
TAEE11,TAESA,STOCK,Energia Elétrica
VIVT3,TELEF BRASIL,STOCK,Telecomunicações
TEND3,TENDA,STOCK,Construção Civil
TIMS3,TIM,STOCK,Telecomunicações
TOTS3,TOTVS,STOCK,Tecnologia
UGPA3,ULTRAPAR,STOCK,Combustíveis
USIM5,USIMINAS,STOCK,Siderurgia
VALE3,VALE,STOCK,Mineração
VAMO3,VAMOS,STOCK,Serviços
VBBR3,VIBRA,STOCK,Combustíveis
VIVA3,VIVARA S.A.,STOCK,Varejo
WEGE3,WEG,STOCK,Bens Industriais
WIZC3,WIZO3 PART,STOCK,Tecnologia
